Año-Modelo,Clase 2b,Clase 3,Clase 4,Clase 5,Clase 6,Clase 7,Clase 8a,Clase 8b
1987,23.905,15.014,15.015,15.015,15.015,15.015,15.015,15.015
1988,24.691,15.015,15.015,15.015,15.015,15.015,15.014,15.014
1989,25.886,15.015,15.015,15.015,15.015,15.015,15.015,15.015
1990,13.2,7.46,7.46,7.46,7.46,7.46,7.46,7.46
1991,13.252,7.46,7.46,7.46,7.46,7.46,7.46,7.46
1992,13.553,7.46,7.46,7.46,7.46,7.46,7.46,7.46
1993,13.748,7.46,7.46,7.46,7.46,7.46,7.46,7.46
1994,13.583,7.327,7.327,7.327,7.327,7.327,7.327,7.327
1995,13.834,7.327,7.327,7.327,7.327,7.327,7.327,7.327
1996,14.008,7.327,7.327,7.327,7.327,7.327,7.327,7.327
1997,14.183,7.327,7.327,7.327,7.327,7.327,7.327,7.327
1998,29.706,15.182,15.182,15.182,15.182,15.182,15.182,15.182
1999,29.859,15.182,15.182,15.182,15.182,15.182,15.182,15.182
2000,29.859,15.182,15.182,15.182,15.182,15.182,15.182,15.182
2001,30.493,15.245,15.245,15.245,15.245,15.245,15.245,15.245
2002,30.493,15.245,15.245,15.245,15.245,15.245,15.245,15.245
2003,30.493,15.245,15.245,15.245,15.245,15.245,15.245,15.245
2004,30.811,15.245,15.245,15.245,15.245,15.245,15.245,15.245
2005,30.811,15.245,15.245,15.245,15.245,15.245,15.245,15.245
2006,30.811,15.245,15.245,15.245,15.245,15.245,15.245,15.245
2007,30.811,15.245,15.245,15.245,15.245,15.245,15.245,15.245
2008,15.6,4.573,4.573,4.573,4.573,4.573,4.573,4.573
2009,0.312,4.573,4.573,4.573,4.573,4.573,4.573,4.573
2010,0.312,4.573,4.573,4.573,4.573,4.573,4.573,4.573
2011,0.245,2.473,2.473,2.473,2.473,2.473,2.473,2.473
2012,0.245,2.473,2.473,2.473,2.473,2.473,2.473,2.473
2013,0.142,2.473,2.473,2.473,2.473,2.473,2.473,2.473
2014,0.142,2.473,2.473,2.473,2.473,2.473,2.473,2.473
2015,0.142,2.473,2.473,2.473,2.473,2.473,2.473,2.473
2016,0.142,2.473,2.473,2.473,2.473,2.473,2.473,2.473
2017,0.204,2.473,2.473,2.473,2.473,2.473,2.473,2.473
2018,0.204,2.473,2.473,2.473,2.473,2.473,2.473,2.473
2019,0.204,2.473,2.473,2.473,2.473,2.473,2.473,2.473
